,first_protein_size,second_protein_size,target
1,3603,11352,-5.7447274948966935
2,5640,1653,-8.698970004336019
3,5265,708,-10.522878745280337
4,12390,1380,-9.602059991327963
5,4245,1941,-6.3979400086720375
6,5151,4722,-6.522878745280337
7,4476,4863,-8.468521082957745
8,12084,978,-7.0
9,4569,5394,-6.853871964321762
10,4098,7668,-3.769551078621726
11,5121,3993,-12.221848749616356
12,7236,1893,-6.113509274827518
13,4323,2967,-6.8297382846050425
14,2622,2346,-5.0
15,4698,4857,-5.411168274405792
16,3882,543,-7.167491087293763
17,5436,510,-5.920818753952375
18,5217,1299,-8.886056647693163
19,4395,4599,-4.568636235841013
20,2142,3405,-12.619788758288394
21,5508,3690,-6.3872161432802645
22,3873,4374,-4.107905397309519
23,6120,2847,-6.142667503568732
24,11565,816,-8.0
25,7227,5835,-5.920818753952375
26,7542,3309,-9.0
27,8193,1299,-8.221848749616356
28,18210,4092,-4.6020599913279625
29,3714,5001,-9.455931955649724
30,12075,2619,-10.397940008672037
31,3699,3756,-4.698970004336019
32,2175,3546,-5.481486060122112
33,5868,3006,-5.706416486503883
34,6252,2796,-5.706416486503883
35,8808,10953,-8.0
36,2142,2826,-5.5376020021010435
37,7272,1803,-10.698970004336019
38,1350,1077,-6.431798275933005
39,4803,6261,-7.236572006437063
40,12564,1560,-8.0
41,3072,3384,-8.154901959985743
42,4791,1131,-4.853871964321762
43,4560,915,-4.705533773838407
44,462,10257,-5.7447274948966935
45,11427,633,-7.6777807052660805
46,489,10086,-6.657577319177793
47,9309,8079,-6.638272163982407
48,6744,1404,-9.531652669587842
49,1623,1590,-4.698970004336019
50,9105,867,-8.0
51,9363,5394,-7.301029995663981
52,3543,4755,-5.638272163982407
53,3066,2352,-5.638272163982407
54,16545,4011,-8.397940008672037
55,5262,4980,-4.7447274948966935
56,1104,6204,-4.0
57,3228,2964,-6.892790030352131
58,2850,2931,-6.892790030352131
59,6234,3309,-6.920818753952375
60,6609,558,-6.8326826652518236
61,3933,9327,-5.0
62,5241,1863,-5.698970004336019
63,6708,3195,-4.481486060122112
64,5133,6813,-6.522878745280337
65,4221,2877,-6.455931955649724
66,6060,609,-6.4089353929735005
67,6828,585,-6.4089353929735005
68,6564,4338,-6.301029995663981
69,12561,4758,-7.301029995663981
70,4200,2877,-6.119186407719209
71,5319,11886,-6.045757490560675
72,4896,3201,-5.698970004336019
73,1125,6333,-5.1938200260161125
74,9309,2256,-4.931814138253839
75,7374,678,-7.749579997691106
76,12246,1044,-7.0
77,2967,2946,-7.0
78,6540,381,-3.8239087409443187
79,3531,4968,-5.761953896871205
80,3609,5055,-8.0
81,8220,1701,-8.0
82,3045,3324,-7.537602002101044
83,4581,2076,-3.6020599913279625
84,3558,4980,-6.568636235841013
85,6420,327,-3.4814860601221125
86,6819,261,-3.408935392973501
87,2826,2205,-2.388276691992658
88,8241,3837,-7.301029995663981
89,2856,3300,-9.113509274827518
90,1947,1590,-5.062983892535185
91,3039,3318,-9.0
92,2853,2787,-7.0
93,8451,1740,-8.0
94,3201,3039,-6.154901959985743
