,first_protein_size,second_protein_size,target
1,4335,1281,-9.747146969020108
2,5202,1494,-4.619788758288394
3,5256,1467,-12.221848749616356
4,6189,1674,-10.698970004336019
5,3603,11352,-5.7447274948966935
6,5640,1653,-8.698970004336019
7,6282,2604,-9.147520006363143
8,8859,3141,-4.638272163982407
9,5265,708,-10.522878745280337
10,12390,1380,-9.602059991327963
11,4245,1941,-6.3979400086720375
12,5151,4722,-6.522878745280337
13,4476,4863,-8.468521082957745
14,12084,978,-7.0
15,4569,5394,-6.853871964321762
16,4098,7668,-3.769551078621726
17,5121,3993,-12.221848749616356
18,7236,1893,-6.113509274827518
19,4323,2967,-6.8297382846050425
20,2622,2346,-5.0
21,4698,4857,-5.411168274405792
22,3882,543,-7.167491087293763
23,5436,510,-5.920818753952375
24,5217,1299,-8.886056647693163
25,4395,4599,-4.568636235841013
26,2142,3405,-12.619788758288394
27,5508,3690,-6.3872161432802645
28,3873,4374,-4.107905397309519
29,6120,2847,-6.142667503568732
30,11565,816,-8.0
31,7227,5835,-5.920818753952375
32,7542,3309,-9.0
33,8193,1299,-8.221848749616356
34,18210,4092,-4.6020599913279625
35,3714,5001,-9.455931955649724
36,12075,2619,-10.397940008672037
37,3699,3756,-4.698970004336019
38,2175,3546,-5.481486060122112
39,5868,3006,-5.706416486503883
40,6252,2796,-5.706416486503883
41,8808,10953,-8.0
42,2142,2826,-5.5376020021010435
43,7272,1803,-10.698970004336019
44,1350,1077,-6.431798275933005
45,4803,6261,-7.236572006437063
46,12564,1560,-8.0
47,3072,3384,-8.154901959985743
48,4791,1131,-4.853871964321762
49,4560,915,-4.705533773838407
50,462,10257,-5.7447274948966935
51,11427,633,-7.6777807052660805
52,489,10086,-6.657577319177793
53,9309,8079,-6.638272163982407
54,6744,1404,-9.531652669587842
55,1623,1590,-4.698970004336019
56,9105,867,-8.0
57,9363,5394,-7.301029995663981
58,3543,4755,-5.638272163982407
59,3066,2352,-5.638272163982407
60,16545,4011,-8.397940008672037
61,5262,4980,-4.7447274948966935
